answer,preprocessing_result,sentimen
 Semangat !! ,semangat,1
Lanjutkan perjuangan,lanjut juang,1
pertahankan !!!,tahan,0
 Pertahankan ,tahan,0
 Kurang jelas saat membeli materi tingkatkan joz. ,kurang jelas beli materi tingkat joz,0
" Kita bukan siswa tapi mahasiswa, berikan pelayanan yang baik dan merata. ",bukan siswa mahasiswa ikan layan baik rata,1
Tingkatkan,tingkat,0
 Pada matakuliah keamana komputer asisten yang ada di lab tidak mampu meningkatkan minat belajar karena penyampaiannya kurang menarik. ,matakuliah keamana komputer asisten ada lab mampu tingkat minat ajar sampai kurang tarik,0
 Kalau uadah telat 20 atau lebih mending gak usah masuk aja ,kalau uadah telat 20 lebih mending gak usah masuk aja,0
"Anda baik, tapi banyak menjelaskan hal-hal yang tidak perlu terima kasih , lanjutkan..!!",baik banyak jelas yang perlu terima kasih lanjut,1
Lebih tingkatkan dan lebih lantang dalam penyampaian,lebih tingkat lebih lantang sampai,1
Joss !!,joss,0
Kalau menjelaskan kadang ada istilah** yang bikin bingung & kurang di jelaskan,kalau jelas kadang istilah bikin bingung kurang jelas,0
"Pak, banyakin prateknya ya",pak banyakin prateknya,1
Jangan mengajar terlalu cepat,jangan ajar terlalu cepat,0
Waktu dimulainya sangat tepat waktu,waktu mula sangat tepat waktu,1
Baik,baik,1
Terima kasih yang telat dibolehkan masuk,terima kasih telat masuk,1
Terima kasih yang telat dibolehkan masuk,terima kasih telat masuk,1
Tugas** yang ada memacu mahasiswa untuk berfikir,tugas ada pacu mahasiswa berfikir,0
Tugasnya jangan terlalu banyak pak…??,tugas jangan terlalu banyak pak,0
Tugas…!! Tapi mampu meningkatkan minat mahasiswa,tugas mampu tingkat minat mahasiswa,1
Belajar yang menegangkan tapi mengasyikan….,ajar tegang asyik,1
Menengangkan …… tapi mampu mendisiplinkan mahasiswa,menengangkan mampu disiplin mahasiswa,1
Saat menerangkan kurang jelas,terang kurang jelas,0
Tugasnya jangan terlalu banyak,tugas jangan terlalu banyak,0
Menurut saya bapak mengajar sangat baik sehingga membuat siswa lebih bersemangat untuk tau dan terus belajar,turut bapak ajar sangat baik buat siswa lebih semangat tau terus ajar,0
Jangan buat kelas jadi tegang ya pak ?,jangan buat kelas jadi tegang pak,1
Selain memberi materi yang detail sebaiknya jelaskan dgn contoh atau menyelesaikan contoh bersama-sama mahasiswa,beri materi detail baik jelas dgn contoh selesai contoh sama mahasiswa,0
Tugasnya terlalu banyak harap dikondisikan,tugas terlalu banyak harap kondisi,0
Terus tingkatkan belajar - mengajar seperti ini karna akan meningkatkan kwalitas mahasiswa,terus tingkat ajar - ajar ini karna tingkat kwalitas mahasiswa,0
"Jangan cepat** materinya dijelasin dulu, baru suruh mengerjakan pak……",jangan cepat materi dijelasin dulu baru suruh kerja pak,0
"Tugas yang diberikan, harap disesuaikan dengan porsi dan kemampuan mahasiswa, karena masih banyak mata kuliah yang lain jugayg memiliki tugas",tugas beri harap sesuai porsi mampu mahasiswa masih banyak mata kuliah lain jugayg milik tugas,1
keep spirit,keep spirit,1
good luck,good luck,0
Lanjutkan !!!,lanjut,0
Bagus !,bagus,1
Kurang tepat waktu,kurang tepat waktu,0
Semoga dosennya lebih baik lagi,moga dosen lebih baik,1
Lanjutkan,lanjut,0
Jam Pengganti Jangan Mendadak !,jam ganti jangan dadak,0
Terima kasih,terima kasih,1
Oke lah kalau begitu,oke lah kalau,0
Disarankan tidak selalu mengadakan kuliah pengganti,saran selalu kuliah ganti,0
Sangat meningkatkan semangat,sangat tingkat semangat,1
Harap Kuliahnya yang disiplin,harap kuliah disiplin,0
Lebih rajin berangkat,lebih rajin berangkat,1
Cara mengajar cukup menyenangkan,cara ajar cukup senang,0
Cepat sembuh ya pak,cepat sembuh pak,1
Joss...,joss,0
Terlalu disiplin,terlalu disiplin,0
Super,super,0
Cara belajar efektif lanjutkan..,cara ajar efektif lanjut,0
super,super,0
Lanjutkan !!,lanjut,0
Terima kasih,terima kasih,1
Good luck,good luck,0
Tingkatkan,tingkat,0
siap !!!,siap,0
Incredible is amazing…joss,incredible is amazingjoss,1
"Seep Ok, yes, lanjutkan,,,!!",seep yes lanjut,0
Luaaar biasaaa!!! Mantap,luaaar biasaaa mantap,1
Lanjutkan !!!,lanjut,0
Dalam penyampaian materi Dosen - Dosen sangat baik dalam penyampaiannya,sampai materi dosen - dosen sangat baik sampai,1
Penyampaian materinya baik,materi baik,1
Lebih banyak lagi dalam  memberikan contoh kongkrit,lebih banyak dalam beri contoh kongkrit,1
Dalam penyampainnya jangan terlalu cepat tetapi untuk materi cukup memuaskan,penyampainnya jangan terlalu cepat untuk materi cukup muas,0
"Hafalan banyak , tapi materi baru diterima ,sangat memberatkan !!! tapi asyik",hafal banyak materi baru terima sangat berat asyik,1
"Dapat memperdalam ilmu dakwah, mantap",dalam ilmu dakwah mantap,1
"Semangat, memperdalam ilmu dakwah",semangat ilmu dakwah,1
"Pemateri mengasyikan, dapat praktek ceramah, tau alur dan etika dakwah",materi asyik praktek ceramah tau alur etika dakwah,1
Good,good,0
Sangat menarik,sangat tarik,1
"Perkuliahan sertifikasi IV cukup menyenangan, metode yg diajarkan dapat menarik minat",kuliah sertifikasi iv cukup senang metode yg ajar tarik minat,0
oke,oke,0
Cukup baik dan sangat mudah untuk dimengerti,cukup baik sangat mudah erti,1
Cepet pulang !! Kangen ibu sama bapak,cepet pulang kangen ibu sama bapak,1
"Bagus, lanjutkan !",bagus lanjut,1
"Mantap, lanjutkan",mantap lanjut,1
"Lebih memperdalam ilmu agama , bagus",lebih ilmu agama bagus,1
Still go on !,still go on,0
Baik,baik,1
Semuanya udah baik,semua udah baik,1
No comment… sudah baik,no comment baik,1
No comment,no comment,1
Selamat dan sukses semoga bisa meningkatkan semangat belajar mahasiswa fighting……!!,selamat sukses moga tingkat semangat ajar mahasiswa fighting,0
Is the best !!! Semoga umrohnya berjalan dengan lancar pak amin…….,is the best moga umrohnya jalan lancar pak amin,1
Lanjutkan pak dengan efisiensi yang lebih baik,lanjut pak efisiensi lebih baik,1
Good job,good job,0
Jangan sering presentasi !,jangan sering presentasi,0
Agar selalu memberikan semangat bagi mahasiswa biar dapat menujunyang lebih baik,selalu beri semangat mahasiswa biar menujunyang lebih baik,1
Lanjutkan !!!,lanjut,0
Lebih jelas menerangkan kuis materi di jelaskan dahulu,lebih jelas terang kuis materi jelas,0
Tolong materi dibagikan belum punya elearning,materi belum punya elearning,0
Good Job,good job,0
Good Job,good job,0
Nilai yang bagus ya pak !!!,nilai bagus pak,1
Nilainya B,nilai b,1
Harus B Pokoknya !!,b pokok,0
Humoris jadi asyin belajarnya,humoris jadi asyin ajar,0
"Soal jangan terlalu jauh dgn contoh"""" Soal & materi di berikan saat kuliah",soal jangan terlalu jauh dgn contoh soal materi ikan kuliah,0
Lanjutkan Bu,lanjut bu,0
Lanjutkan Bu,lanjut bu,0
Lanjutkan !!,lanjut,0
cukup,cukup,0
Seharusnya dosen memberikan motivasi di sela-sela perkuliahan agar mahasiswa merasa bersemangat,dosen beri motivasi sela kuliah mahasiswa rasa semangat,0
good job,good job,0
Dosen yang bersangkutan sebaiknya kedepannya lebih menghargai dan konsisten waktu,dosen sangkut baik depan lebih harga konsisten waktu,1
"Terima kasih atas bimbingan yang ibu berikan, semuanya sangat bermanfaat bagi kami, terima kasih ibu",terima kasih atas bimbing ibu ikan semua sangat manfaat kami terima kasih ibu,1
Great job bu..,great job bu,0
"Jangan kebanyakan nyatet bu, lebih ke contoh-contoh konkret dan pengaplikasiannya di industri",jangan banyak nyatet bu lebih contoh konkret aplikasi industri,1
Kurang besar suara dalam mengajar,kurang besar suara ajar,0
Metode pembelajarnnya di perbaiki,metode pembelajarnnya baik,1
Good job,good job,0
"Proses mengajar sudah bagus, perlu ditingkatkan lagi",proses ajar bagus perlu tingkat,0
Terima kasih atas pengajaran yang ibu berikan semoga berguna bagi kami kelak Amin,terima kasih atas ajar ibu ikan moga bagi kelak amin,1
Lebih banyak penjelasan ya bu,lebih banyak jelas bu,0
Lebih memperdalam teori dalam pengajaran,lebih teori ajar,0
Bagus dalam mengajar tingkatkan kembali,bagus ajar tingkat,0
Good,good,0
Sudah baik sekali dalam penyampain,baik sekali penyampain,1
Perfect Teacher,perfect teacher,1
Mantap Lanjutkan,mantap lanjut,1
Super sekali !!!,super sekali,0
Mrs. Jamil is the best,mrs jamil is the best,1
is the best,is the best,1
is the best,is the best,1
"Baik dalam penyampaian materi , semoga lebih baik",baik sampai materi moga lebih baik,1
Tingkatkan,tingkat,0
Tolong dalam mengakhiri jam perkuliahan ditetibkan makasih,dalam akhir jam kuliah ditetibkan makasih,0
Tolong pada saat mengajar jangan membanding''kan organisasi yang lain (jangan sebut partai),pada ajar jangan banding kan organisasi lain jangan sebut partai,0
Perlu ditingkatkan lagi cara penyampaian materi,perlu tingkat cara materi,0
Cara memberi materi beserta contoh''nya sudah bagus tetapi masih telat dalam waktu,cara beri materi contoh nya bagus masih telat waktu,1
lebih suka menghadapi mahasiswa karena kesabaran bisa membuat hati lebih nyaman,lebih suka hadap mahasiswa sabar buat hati lebih nyaman,1
"Cara memberi materi dan contoh""nya sudah bagus",cara beri materi contoh nya bagus,1
sudah cukup baik,cukup baik,1
"Kurang dikerasin suaranya, yang bagian belakang agak"" tidak kedengeran",kurang dikerasin suara bagi belakang tidak kedengeran,0
Good Job,good job,0
Semangat ibu dan terima kasih,semangat ibu terima kasih,1
sangat memotivasi,sangat motivasi,0
sudah cukup baik,cukup baik,1
Oke lah kalu begitu……..,oke lah kalu,0
Tolong lebih tertib lagi dalam hal mengajar (Presensi),lebih tertib dalam ajar presensi,0
Tingkatkan,tingkat,0
Ketepatan waktu perlu ditingkatkan,tepat waktu perlu tingkat,0
Tingkatkan,tingkat,0
Tepat Waktu…..,tepat waktu,1
Lanjutkan,lanjut,0
Joss Gandos,joss gandos,0
Seharusnya dosen lebih mampu mengauasai kelas tidak hanya fokus pada slide presentasi,dosen lebih mampu mengauasai kelas hanya fokus slide presentasi,0
Oke Saya suka cara mengajarnya !!,oke suka cara ajar,0
semangat ibu...,semangat ibu,1
Lebih kreativ dalam mengajar,lebih kreativ ajar,0
"Belajar menguasai kelas, analogikan dgn sederhana",ajar kuasa kelas analogi dgn sederhana,1
Lanjutkan ibu……..,lanjut ibu,0
Lanjutkan !!,lanjut,0
Good Teacher,good teacher,1
Lanjutkan,lanjut,0
Lanjutkan,lanjut,0
Komunikativ kurang,komunikativ kurang,0
Mantap !!,mantap,1
Perlunya pembagian materi (soft copy) sebelum materi disampaikan sehingga mahasiswa dapat belajar & mengetahui materi terlebih dahulu,perlu materi soft copy materi sehingga mahasiswa ajar tahu materi lebih,0
Cara menjelaskan tentang materi kuliah terlalu cepat sekali dan membuat mahasiswa kurang paham,cara jelas materi kuliah terlalu cepat sekali buat mahasiswa kurang paham,0
Tolong lebih memperhatikan mahasiswa yang kurang memperhatikan kuliah,lebih perhati mahasiswa kurang perhati kuliah,0
Dosene ndagel….perjuangkan !!!!,dosene ndagel juang,1
Terima kasih ibu,terima kasih ibu,1
Jangan suka terbang terus !!!,jangan suka terbang terus,1
Cantik,cantik,1
Semoga Ibukku baik pada nilai. Bantu nilai kami buk.,moga ibukku baik nilai bantu nilai buk,1
"Anda sudh baik dalam KBM, tapi kurang mencairkan suasana  dan tolong banyakin mengerjakan soal dari pada penyampaian materi, karena mengerjakan soal akan lebih mudah diingat dan tetap demangat…GAMBATE !!!",sudh baik kbm kurang cair suasana tolong banyakin kerja soal pada materi kerja soal lebih mudah ingat tetap demangatgambate,1
+cantik,cantik,1
Cantik + Jenius + banyak untuk untuk mengerjakan soal ya bu saat di kelas,cantik jenius banyak untuk kerja soal bu di kelas,1
"Mantaf, tapi banyakin mengerjakan soal.",mantaf banyakin kerja soal,1
"Ibunya jangan pelit nilai, walaupun salah ya dikasih nilai bu… yang penting jangan )…hehehe…",ibu jangan pelit nilai walaupun salah kasih nilai bu penting jangan hehehe,1
"Ibunya pelit nilai, tidak memghargai pekerjaan mahasiswa !",ibu pelit nilai memghargai kerja mahasiswa,1
Cuman 1 catatan buat ibu… tolong kasih nilainya jangan pelit ya…masa matematika salah dapat 0 ?? Hargai nulisnya bu…..,cuman 1 catat buat ibu kasih nilai jangan pelit yamasa matematika salah 0 harga nulisnya bu,1
Terus wow gitu?,terus wow gitu,1
Datang tepat waktu,datang tepat waktu,1
kasih tau gak ya?,kasih tau gak,1
Good...!,good,0
Penilaian kemarin tidak bagus…karena pada saat salah langsung nilai 0 tidak ada penilai yang pada kerja/mengisi dulu…tidak seperti pelajaran/matakuliah lain. Terimakasih…..semoga kedepan lebih baik,nilai kemarin baguskarena saat salah langsung nilai 0 ada nilai pada kerja isi dulutidak ajar matakuliah terimakasih moga depan lebih baik,1
Oh begitu toooo,begitu toooo,1
Dosennya WOW banget ! Ngajarnya enak..The Best,dosen wow banget ngajarnya enak the best,1
WOW gitu,wow gitu,1
Cara mengajarnya enak banget,cara ajar enak banget,0
"Terimakasih telah membimbing kami, kalo bisa soal latihan dibuat mirip dengan soal UAS ya bu",terimakasih bimbing kalo soal latih buat mirip soal uas bu,0
Yang sulit memang membawa mahasiswa mengikuti pelajaran dengan baik. Saya sarankanteruskan cara efektifnya,sulit memang bawa mahasiswa ikut ajar baik sarankanteruskan cara efektif,1
Lanjutkan…!!!,lanjut,0
Frekuensi suaranya mohon dikurangi. Suaranya kenceng tapi bikin ngantuk. Demi Tuhannn !!!,frekuensi suara mohon rang suara kenceng bikin ngantuk tuhannn,1
Jarinya nanggung,jari nanggung,1
Kurang bersahabat,kurang sahabat,0
On time yuk bu,on time yuk bu,0
Mohon tepat waktu ya bu,mohon tepat waktu bu,1
Perbanyak diskusi kelompok,banyak diskusi kelompok,0
Perbanyak diskusi,banyak diskusi,0
Sistem perkuliahannya diperbanyak diskusi,sistem kuliah banyak diskusi,1
Sistem perkuliahannya diperbanyak diskusi,sistem kuliah banyak diskusi,1
Jooooshh… Gandosh…!!!,jooooshh gandosh,0
Jangan sembarangan menentukan jam pengganti,jangan sembarang jam ganti,0
TOP,top,1
"Sangat baik, tapi lebih baik jika anda bisa mencairkan suasana",sangat baik lebih baik anda cair suasana,1
BAGUS,bagus,1
Bapaknya luar biasa,bapak luar biasa,1
Memulai perkuliahan kurang tepat waktu,mulai kuliah kurang tepat waktu,0
"Bapaknya luar biasa : baik, asik",bapak luar biasa baik asik,1
DAHSYAT ! LOVE YOU FULL,dahsyat love you full,0
Terimakasih pak Sujarwo,terimakasih pak sujarwo,1
Jangan pelit nilai,jangan pelit nilai,1
Jangan pelit nilai ya !,jangan pelit nilai,1
Mohon lebih tepat waktu dalam perkuliahan,mohon lebih tepat waktu kuliah,0
Suara ketika mengajar tolong dikeraskan,suara ajar keras,0
Harus lebih semangat lagi,lebih semangat,1
"Di mata perkuliahan komputer vision ini mungkin lebih bisa dibanyakin contoh-contoh soal, biar mahasiswa bisa lebih paham…",mata kuliah komputer vision mungkin lebih dibanyakin contoh soal biar mahasiswa lebih paham,1
good Job,good job,0
Mohon penjelasan di slide menggunakan bahasa indonesia agar dapat meningkatkan pemahaman mahasiswa,mohon jelas slide bahasa indonesia dapat tingkat paham mahasiswa,0
Semangat Bapak !! Ngajar lebih baik lagi...,semangat bapak ngajar lebih baik,1
Tolong selalu beri motivasi kepada mahasiswa pak…,selalu beri motivasi mahasiswa pak,1
Dalam menjelaskan materi sebaiknya lebih diperjelas lagi,jelas materi baik lebih jelas,0
Lanjutkan !!!,lanjut,0
"Bapak… Kalo ngajar jangan duduk aja mantengin komputernya. Sekali-kali temen-temen ada diskusi atau apa, coz dikelas itu pada ngantuk dan kadang ada yang tiduran kalo bapak ngajar. Minta tolong lagi ya cara ngajarnya. SEMANGAT BAPAK,",bapak kalo ngajar jangan duduk aja mantengin komputer sekali-kali temen-temen diskusi apa coz kelas pada ngantuk kadang yang tidur kalo bapak ngajar minta lagi cara ngajarnya semangat bapak,0
Mahasiswa perlu diaktifkan lagi,mahasiswa perlu aktif,0
Good Job,good job,0
Good.. !!!,good,0
Tingkatkan mutu pembelajaran….Cemungut ea,tingkat mutu ajar cemungut ea,0
Perbanyak materi pembelajaran,banyak materi ajar,0
Ciptakan kelas yang kondusif…,cipta kelas kondusif,1
Good Job ,good job,0
OK !!!,,0
OK !!!,,0
Nilai jangan pelit,nilai jangan pelit,1
Agar menjelaskannya tetap seperti ini,jelas tetap ini,0
Nilai jangan pelit ea buk,nilai jangan pelit ea buk,1
"Penjelasan yang dilakukuman sudah sangat baik, namun mahasiswa yang kurang memperhatikan penjelasan materi yang disampaikan. Sukses buat anda, Good Job.",jelas dilakukuman sangat baik mahasiswa kurang perhati jelas materi sampai sukses buat good job,1
"Mantap, lanjutkan.",mantap lanjut,1
"Figthing, Joss",figthing joss,0
"Is the best, jangan pelit nilai dong buk, pokok e, buagus, apik tenan",is the best jangan pelit nilai dong buk pokok e buagus apik tenan,1
"Buk, jangan kasih nilai rendah ya buk, pokok e buagus",buk jangan kasih nilai rendah buk pokok e buagus,1
"Kami beri nilai yang cukup baik, harap ibuk memberi kami nilai yang baik pula, ctt : minimal B",beri nilai cukup baik harap ibuk beri nilai baik ctt minimal b,1
"Mohon dengan sangat buk, kalau nilai jangan pelit buk, (miss you is the best)",mohon sangat buk kalau nilai jangan pelit buk miss you is the best,1
OK !,,0
"Terimakasih atas pembelajarannya, saya menyukai cara mengajarnya.",terimakasih atas ajar suka cara ajar,0
Pertahankan cara mengajarnya karena saya suka caramu mengajar,tahan cara ajar saya suka cara ajar,0
"Contohnya diperbanyak…. Dalam proses belajar sangat menarik, lanjutkan bu",contoh banyak proses ajar sangat tarik lanjut bu,0
"Jangan pelit nilai, mudahkan soalnya",jangan pelit nilai mudah soal,1
"Cara ibu menyampaikan materi cukup bagus, tapi kalao UAS jangan buat soal yang sulit karena latihan-latihan selalu mudah dan gak pernah sulit",cara ibu materi cukup bagus kalao uas jangan buat soal sulit latih selalu mudah gak pernah sulit,1
Trik mengajarnya menarik,trik ajar tarik,0
Masih kurang paham bu…,kurang paham bu,0
Dipertahankan cara mengajarnya ya bu walaupun kurang mengerti tapi tetap semangat figthing,tahan cara ajar bu walaupun kurang erti tetap semangat figthing,0
SIP !,sip,0
"Ibu, kalau mau mendekatin UAS yang dibahas soal-soal mengenai UAS saja mulaipertemuan yang diujianin saja bu, figthing",ibu kalau mau mendekatin uas bahas soal kena uas mulaipertemuan diujianin bu figthing,0
Mengajarnya sudah sangat bagus… tapi ngasi soal ujian jangan sulit-sulit karena yang dicontohkan tidak ada sehingga susah bagi mahasiswa,ajar sangat bagus ngasi soal uji jangan sulit yang contoh ada susah mahasiswa,0
"Buk, nilainya UAS ditambahin ya… dan soal-soal UASnya dipermudah, kalau mau ngasih soal susah waktu latihan",buk nilai uas ditambahin dan soal uasnya mudah kalau mau ngasih soal susah waktu latih,0
"Dipertahankan cara mengajarnya ya bu ? Tegas, supaya mahasiswa tidak ribut sendiri di belakang",tahan cara ajar bu tegas mahasiswa ribut sendiri belakang,0
"Jangan pelit nilai dan tingkatkan cara mengajar, dan jangan terlalu serius, kami butuh hiburan sekali-kali",jangan pelit nilai tingkat cara ajar jangan terlalu serius butuh hibur sekali-kali,0
Joss...,joss,0
"Semangat, moga baik dengan nilai , bantu kami pak !!",semangat moga baik nilai bantu pak,1
Tetap semangat meningkatkan mutu mahasiswa UAD,tetap semangat tingkat mutu mahasiswa uad,1
BPnya metal !!!,bpnya metal,0
Good Job !!!,good job,0
Tingkatkan,tingkat,0
Dosennya josss....,dosen josss,0
Tingkatkan untuk lebih baik,tingkat lebih baik,1
Lanjutkan !!,lanjut,0
Dosennya Ayu !!!,dosen ayu,0
Mantap,mantap,1
"Sebaiknya kalau mengajar live coding, supaya mahasiswanya lebih jelas memahami materi",baik kalau ajar live coding mahasiswa lebih jelas paham materi,0
Arigato !! Semoga tambah joss begitu.,arigato moga tambah joss,1
Mengajarnya telaten sekali…sip!,ajar telaten sekalisip,0
Tetap semangat !!,tetap semangat,1
Seneng,neng,0
Top !,top,1
Nilainya jangan pelit,nilai jangan pelit,1
"Tambah kece ya bu, good job !! Jangan pelit ya bu nilainya.",tambah kece bu good job jangan pelit bu nilai,1
Goooood !!!,goooood,0
Yang penting bukan pak wahyu pujiyono,penting bukan pak wahyu pujiyono,1
"Tidak memuaskan nilainya, pelit …",muas nilai pelit,1
Asololy josssssss…..!!!,asololy josssssss,0
Pertahankan dan tingkatkan.,tahan tingkat,0
Smart,smart,0
"Mohon penjelasan disertai dengan contoh ""live coding"" supaya mahasiswa lebih memahami…",mohon jelas dengan contoh live coding mahasiswa lebih paham,0
Untuk mengajarnya dimohon untuk cepet datang dan biar bisa …?,ajar mohon cepet datang biar,0
Banyak senyum ya buug !!!,banyak senyum buug,1
Jangan pelit kalau kasih nilai bu,jangan pelit kalau kasih nilai bu,1
"Bagus sekali, tetapi bagusnya bagus sekali",bagus sekali bagus bagus sekali,1
makasih bu dosen,makasih bu dosen,0
Betah banget kalau bu dewi yang ngajar,betah banget kalau bu dewi ngajar,1
Its my …?,its my,1
"materi yang disampaikan oleh beliau jelas dan akurat, ditambah beliau mc",materi sampai beliau jelas akurat tambah beliau mc,1
Good job,good job,0
Harap masuk tepat waktu sesuai kontrak kerja,harap masuk tepat waktu sesuai kontrak kerja,0
Masuknya tepat waktu biar mahasiswa tidak lama menunggu.,masuk tepat waktu biar mahasiswa lama tunggu,0
Kelas pak wahyu membuat saya selalu stres. Dosen paling kiler sepanjang sejarah peradapan manuasia,kelas pak wahyu buat selalu stres dosen paling kiler panjang sejarah adap manuasia,1
"Susah sekali saya mengerti pelajaran ini, membingungkan.",susah sekali erti ajar bingung,0
"Ketika bapak mendekati saya, rasanya sepeti ingin pingsan di tempattt",bapak dekat rasa sepet pingsan tempattt,0
"Susah untuk dimengerti dan menjelaskan materinya jarang,",susah erti jelas materi jarang,0
Suasana menegangkan tidak membuat saya semangat belajar.!!! Seram !!,suasana tegang buat semangat ajar seram,1
Dosen memang selalu tepat waktu,dosen memang selalu tepat waktu,1
O. Jangan terlalu menekan dalam memberikan materi,o jangan terlalu tekan beri materi,0
Pak lain kali kalau mau ngasih tugas TP/apapun tolong sebaiknya dijelaskan dulu…,pak kali kalau mau ngasih tugas tp apa baik jelas dulu,0
Jika memberikan soal harus dicontohkan dahulu supaya mahasiswa mengerti,beri soal contoh supaya mahasiswa erti,0
Tolong diberi contoh praktek,beri contoh praktek,1
"Dalam menyuruh tugas sebaiknya mahasiswa diberi tahu terlebih dahulu, setidaknya ada pengetahuan yang dimiliki mahasiswa.",suruh tugas baik mahasiswa beri tahu lebih tidak tahu milik mahasiswa,1
"Jangan terlalu menekan karena menurunkan minat belajar, bagi mahasiswa yang mampu mungkin ya mampu, tetapi kalau sebaliknya tambah hancur.",jangan terlalu tekan turun minat ajar mahasiswa mampu mungkin mampu kalau balik tambah hancur,0
"Dengan pengajaran seperti itu mahasiswa merasa tertekan, dan terlalu banyak memberikan tugas, mahasiswa menjadi takut, bukannya segan dengan dosen",ajar itu mahasiswa rasa tekan terlalu banyak beri tugas mahasiswa jadi takut bukan segan dosen,0
Mahasiswa merasa tertekan,mahasiswa rasa tekan,0
Jangan ditiru adegan ini berbahaya,jangan tiru adegan bahaya,1
Penjelasannya tidak membuat mahasiswa paham,jelas buat mahasiswa paham,0
"Seharusnya penjelasan coding dilakukan dikelas, jadi mahasiswa akan mudah memahami step by step algoritmanya. Jangan Cuma hasil dari orang lain yang ditampilkan",jelas coding laku kelas jadi mahasiswa mudah paham step by step algoritmanya jangan cuma hasil orang yang tampil,1
"Jangan terlalu spontan kalo ngajar pak, kami semua dalam proses belajar, bukan master.",jangan terlalu spontan kalo ngajar pak semua proses ajar bukan master,0
Mungkin…komunikasi ke mahasiswa lebih ditingkatkan lagi. Kompor gas…!!!,mungkinkomunikasi mahasiswa lebih tingkat kompor gas,1
Tugas dan ujian kadang tidak dibagi…,tugas uji kadang bagi,1
Lebih banyak memberikan contoh soal dan lebig pelan-pelan dalam menjelaskan materi.,lebih banyak beri contoh soal lebig pelan jelas materi,0
"Kuliah, belajar saya jadi lebih bersemangat",kuliah ajar jadi lebih semangat,0
* Buat semangat belajar  * Disiplin mahasiswa dibangun lagi,buat semangat ajar disiplin mahasiswa bangun,0
Lanjutkan !!! Pas banget,lanjut pas banget,1
Tetap semangat,tetap semangat,1
Kalau untuk penyam[pain materi sudah sangat baik dan materi yang disampaikan bisa diterima dan dipahami,kalau penyam pain materi sangat baik materi sampai terima paham,1
"Disiplin waktu dipertahankan, lanjutkan materi cukup sesuai.",disiplin waktu tahan lanjut materi cukup sesuai,0
Sistem pengajaran sudah baik namun kadang ketika menerangkan materi terlalu cepat. Ketika menerangkan materi yang sulit pelan-pelan saja pak agar semua paham,sistem ajar baik kadang terang materi terlalu cepat terang materi sulit pelan pak semua paham,1
"Minat belajar saya jadi bertambah ketika pak Eko mengajar, walaupun masuk pagi-pagi.",minat ajar jadi tambah pak eko ajar walaupun masuk pagi,0
"Like this, bapak disiplin dn selalu tepat waktu kalau dateng, jadi kuliahpun dapat dimulai tepat waktu, diacungin 4 jempol buat bapak.",like this bapak disiplin dn selalu tepat waktu kalau dateng jadi kuliah mulai tepat waktu diacungin 4 jempol buat bapak,1
Tingkatkan dan berikan suatu kepercayaan apada mahasiswa,tingkat ikan suatu percaya apada mahasiswa,1
Ditingkatkan lagi,tingkat,0
Lebih baik lagi cara mengajar dan lebih semangat,lebih baik cara ajar lebih semangat,0
Nilainya yang murah ya pak.,nilai murah pak,1
Harap tidak memberi tugas yang cara mengumpulkannya mempersulit mahasiswa !??,harap beri tugas cara kumpul sulit mahasiswa,1
Hasil ujian dibagi pak…??,hasil uji pak,1
Bapak is the best,bapak is the best,1
Cara mengajar sudah cukup baik…lanjutkan,cara ajar cukup baiklanjutkan,0
Cukup baik,cukup baik,1
"cara bapak berbicara mohon diperjelas lagi, jangan terlalu cepat, atau jangan terlalu lambat. Semoga mahasiswa keamanan komputer dapat A semua !!",cara bapak bicara mohon jelas jangan terlalu cepat jangan terlalu lambat moga mahasiswa aman komputer a semua,0
Tingkatkan lagi pak….,tingkat pak,1
Dari questionare yang saya pilih sudah dapat diambil kesimpulan sendiri….,questionare saya pilih dapat ambil simpul sendiri,0
Jadwal kurang pagi !,jadwal kurang pagi,0
Jadwal kepagian,jadwal pagi,1
Cara mengajar yang bagus. Harap tingatkan terus pak !,cara ajar bagus harap tingatkan terus pak,1
"Kuliah jam 7 dikelas perut mules, DEMI TUHAN !!!",kuliah jam 7 kelas perut mules tuhan,0
Lembar ujian tengah semester belum dikembalikan,lembar uji tengah semester kembali,0
Sangat baik,sangat baik,1
"Untuk tugas setiap pertemuan dikasih, namun jarang dikumpulkan",tugas tiap temu kasih jarang kumpul,1
Kalo ada tugas sering lupa,kalo tugas sering lupa,0
"Batas keterlambatan tidak jelas, kadang sebelum jam 7.15 nggak boleh masuk, kadang jam 7.25 boleh masuk. Galau !!",batas lambat jelas kadang jam 7 15 masuk kadang jam 7 25 boleh masuk galau,0
Mungkin menurut saya sebaiknya mangajar itu yang agak santai dan sesekali ada lelucon agar mahasiswa tidak terlalu tegang. WOLWES…,mungkin turut baik mangajar yang santai sekal lelucon mahasiswa terlalu tegang wolwes,0
Sudah bagus pak !,bagus pak,1
"Cobalah untuk menjadi yang lebih baik untuk kita, anda dan semuanya.",coba jadi lebih baik kita dan semua,0
"Lihatlah mahasiswa melalui usaha, jangan dari kemampuan…",lihat mahasiswa lalu usaha jangan mampu,1
"Kurang intermezzo, spaneng",kurang intermezzo spaneng,0
Berikan mahasiswa semangat,ikan mahasiswa semangat,1
