"komentar","sentimen","preprocessing_result"
"Semangat…., Tingkatkan mutu Pembelajaran","0","semangat tingkat mutu ajar"
"Sudah keren","2","sudah keren"
"Oke beri yang terbaik untuk kami","0","oke beri yang baik untuk kami"
"Good job","2","good job"
"Kurang tambah","0","kurang tambah"
"Good job","2","good job"
"Nilai UASA ya Pak  !!","0","nilai uasa ya pak"
"Jangan memberi tugas sebelum menjelaskan materi…","0","jangan beri tugas belum jelas materi"
"Perbanyak Penjelasan Soal…","0","banyak jelas soal"
"Good job !!!","2","good job"
"Jangan kuis dadakan","0","jangan kuis dada"
"Masuk kelas dengan tepat waktu yang sudah ditetapkan","0","masuk kelas dengan tepat waktu yang sudah tetap"
"Ok!!","2","ok"
"Sudah Baik !!!","2","sudah baik"
"Good job","2","good job"
"Agar Lebih baik lagi, kuasai kelas agar belajar lebih kondusif lagi","0","agar lebih baik lagi kuasa kelas agar ajar lebih kondusif lagi"
"menyenangkan namun masih membingungkan","0","senang namun masih bingung"
"Lebih kuasai audiens, karena ketenangan dalam belajar itu sangat dibutuhkan","0","lebih kuasa audiens karena tenang dalam ajar itu sangat butuh"
"Dalam penjelasannya atau ngasih materi sangat baik, tapi memdapatkan nilai khususnya mahasiswa susah","0","dalam jelas atau ngasih materi sangat baik tapi memdapatkan nilai khusus mahasiswa susah"
"Contohnya perlu diperbanyak biar mahasiswa lebih paham","0","contoh perlu banyak biar mahasiswa lebih paham"
"Semoga lebih baik lagi dalam meningkatkan minat belajar mahasiswa","0","moga lebih baik lagi dalam tingkat minat ajar mahasiswa"
"Supaya Lebih jelas lagi dalam menyampaikan materi kuliah agar supaya kami dapat lebih bisa memahaminya","0","supaya lebih jelas lagi dalam sampai materi kuliah agar supaya kami dapat lebih bisa paham"
"Tingkatkan lagi cara mengajarmu","0","tingkat lagi cara ajar"
"Cukup baik dan cukup meningkatkan minat mahasiswa","0","cukup baik dan cukup tingkat minat mahasiswa"
"Lebih meningkatkan lagi contoh soal","0","lebih tingkat lagi contoh soal"
"Perkuliahan sudah cukup baik","2","kuliah sudah cukup baik"
"Memberi motivasi, supaya dalam belajar tambah semangat dan meningkat","0","beri motivasi supaya dalam ajar tambah semangat dan tingkat"
"Lanjutkan","2","lanjut"
"Good luck","2","good luck"
"Good Job","2","good job"
"ok :)","2","ok"
"Luar biasa, Andai dosen TI sama semua dngan pak yayat","0","luar biasa andai dosen ti sama semua dngan pak yayat"
"Tingkatkan lagi ya pak","0","tingkat lagi ya pak"
"ok:)","2","ok"
"Penjelasan materi sangat mudah dipahami","0","jelas materi sangat mudah paham"
"Alhamdulillah UAD memiliki dosen seperti beliau yang patut dicontoh","0","alhamdulillah uad milik dosen seperti beliau yang patut contoh"
"Sangat kompetitif dalam mengajar !!!","0","sangat kompetitif dalam ajar"
"sip","2","sip"
"dosennya fun","0","dosen fun"
"tetap semangat","0","tetap semangat"
"Mengajar sangat baik, Besok semoga ngajar lagi disemester 4. hehe","0","ajar sangat baik besok moga ngajar lagi semester 4 hehe"
"slow but sure","0","slow but sure"
"good","2","good"
"sangat asik","0","sangat asik"
"Kalau ngejelasi materi harus full dan harap dikurangi presentasi-presentasi dikelas","0","kalau ngejelasi materi harus full dan harap rang presentasi kelas"
"Kalau bisa menerangkan / menyampaikan materi lewat poer point","0","kalau bisa terang sampai materi lewat poer point"
"Selalu ditingkatkan lagi pak, go succed","0","selalu tingkat lagi pak go succed"
"Semoga lebih baik untuk kedepannya","0","moga lebih baik untuk depan"
"Tingkatkan","0","tingkat"
"Pertahankan","2","tahan"
"Belum bisa memahami komputasi tolong diperjelas lagi Pak…!","0","belum bisa paham komputasi tolong jelas lagi pak"
"Terimakasih pak.. !","0","terimakasih pak"
"Cara memberikan materi dan contohnya sudah bagus, jadi perlu ditingkatkan lagi","0","cara beri materi dan contoh sudah bagus jadi perlu tingkat lagi"
"Good job","2","good job"
"Cara memberikan materi sudah bagus","0","cara beri materi sudah bagus"
"Kurang jelas dalam menjelaskan…","0","kurang jelas dalam jelas"
"Kalau bisa Pak kalau ada soal ditulis di papan tulis jadi mahasiswa lebih mengerti…","0","kalau bisa pak kalau ada soal tulis di papan tulis jadi mahasiswa lebih erti"
"Kalau ada materi mengenai hitungan dijelasin lebih detail soanya nggak ngerti….","0","kalau ada materi kena hitung dijelasin lebih detail soanya nggak ngerti"
"Cara menjelaskan nya supaya lebih rinci, agar dapat mudah di mengerti…","0","cara jelas nya supaya lebih rinci agar dapat mudah di erti"
"Memberikan penjelasan contoh soal dengan baik","0","beri jelas contoh soal dengan baik"
"Proses mengajar sudah bagus , jadi perlu ditingkatkan lagi !!!","0","proses ajar sudah bagus jadi perlu tingkat lagi"
"Cara penyampaian materinya diperjelas ya Pak dan Jnagan terlalu ngebut","0","cara sampai materi jelas ya pak dan jnagan terlalu ngebut"
"Kupas keras dalam menyampaikan materi…","0","kupas keras dalam sampai materi"
"Memberikan penjelasan secara rinci agar lebih mudah dipahami oleh mahasiswa…","0","beri jelas cara rinci agar lebih mudah paham oleh mahasiswa"
"Lebih diperjelas/dikerjakan ulang contoh soalnya","0","lebih jelas kerja ulang contoh soal"
"Sedikit lebih keras volume suaranya Pak !!!","0","sedikit lebih keras volume suara pak"
"Good Job !!!","2","good job"
"Cara Bapak membimbing kami sangat menginspirasi….","0","cara bapak bimbing kami sangat inspirasi"
"good job","2","good job"
"Saya tidak dapat memberikan komentar karena hanya 2x pertemuan","0","saya tidak dapat beri komentar karena hanya 2x temu"
"Sangat meningkatkan minat mahasiswa","0","sangat tingkat minat mahasiswa"
"Tugas, Kuis dan sebagainya di kembalikan…!","0","tugas kuis dan bagai di kembali"
"good job !","2","good job"
"Fine","2","fine"
"Cukup memuaskan","2","cukup muas"
"Cara dalam mengajarnya sudah bagus","0","cara dalam ajar sudah bagus"
"Tingkatkan","0","tingkat"
"Lanjutkan","2","lanjut"
"Lanjutkan dan semangat sampai tuntas materinya ….","0","lanjut dan semangat sampai tuntas materi"
"Joss gandos pak Andang.. !","2","joss gandos pak andang"
"Lanjutkan !!!","2","lanjut"
"Baik","0","baik"
"SPL..OYE...!!","0","spl oye"
"good job !!!","2","good job"
"Cipp !!!","0","cipp"
"Saya harap makul matematika ini dapat lulus semua dan saya harap dosen lebih baik aktif/lebih dekat ke mahsiswanya","0","saya harap makul matematika ini dapat lulus semua dan saya harap dosen lebih baik aktif lebih dekat ke mahsiswanya"
"Good !!!","2","good"
"Dosen yang sangat memajukan tingkat kualitas mahasiswa, Terimakasih","0","dosen yang sangat maju tingkat kualitas mahasiswa terimakasih"
"Kurang menanggapi mahasiswa yang kurang mengerti","0","kurang tanggap mahasiswa yang kurang erti"
"Obe Yes...","0","obe yes"
"Fine n-n still OK","2","fine n-n still ok"
"Mohon lebih tertib dalam hal perkuliahan  : jam","0","mohon lebih tertib dalam hal kuliah jam"
"Good luck.. perjuangan","2","good luck juang"
"Sangat menyenangkan sekali pake banget","0","sangat senang sekali pake banget"
"Sungguh mengasyikkan sekali kuliah ini","0","sungguh asyik sekali kuliah ini"
"Jangan terlalu sering menggebrak meja Kenapa? Anda menggebrak meja tanpa alasan ?","0","jangan terlalu sering gebrak meja kenapa anda gebrak meja tanpa alas"
"semoga lebih baik lagi","0","moga lebih baik lagi"
"saya suka cara mengajarnya","0","saya suka cara ajar"
"Hampir sempurna","2","hampir sempurna"
"Jangan medit ngasih nilai","0","jangan medit ngasih nilai"
"exelent","0","exelent"
"good job","2","good job"
"sop dah","0","sop dah"
"semangat","0","semangat"
"makasi bapak","0","makas bapak"
"ISBD is the best dah","2","isbd is the best dah"
"Tingkatkan terus kualitas anda","0","tingkat terus kualitas anda"
"Baik","0","baik"
"Ngajarnya asyik","0","ngajarnya asyik"
"Teruskan pak","0","terus pak"
"cukup enak cara mengajarnya","0","cukup enak cara ajar"
"Baik sekali","0","baik sekali"
"semoga panjang umur pak","0","moga panjang umur pak"
"Kurang ngerti penjelasan bapak terimakasih","0","kurang ngerti jelas bapak terimakasih"
"lebih lucu lagi","0","lebih lucu lagi"
"Sangat memberi inspirasi bagi kami anak muda","0","sangat beri inspirasi bagi kami anak muda"
"cukup mengerti saja semangat","0","cukup erti saja semangat"
"seharusnya yang telat dibiarkan masuk saja Pak","0","harus yang telat biar masuk saja pak"
"mantap !!!","2","mantap"
"The best lah ..tapi tolong kalo nulis dipapan tulis agak dibesarin dikit","0","the best lah tapi tolong kalo nulis papan tulis agak dibesarin dikit"
"tetap semangat","0","tetap semangat"
"Materinya asik tapi waktu dan penyampaiannya kurang","0","materi asik tapi waktu dan sampai kurang"
"Lebih diperbanyak latihan soal maju kedepan","0","lebih banyak latih soal maju depan"
"lebih banyak latihan maju kedepan","0","lebih banyak latih maju depan"
"Pak saya cukup puas atas pengajaran bapak","0","pak saya cukup puas atas ajar bapak"
"Kurang disiplin waktu, materi tidak jelas, kemana-mana + cerita","0","kurang disiplin waktu materi tidak jelas mana cerita"
"Berikan / tambahkan contoh soal yang lebih menarik","0","ikan tambah contoh soal yang lebih tarik"
"sering telat","0","sering telat"
"bisa gak datang tepat waktu","0","bisa gak datang tepat waktu"
"jangan keseringan telat pak","0","jangan sering telat pak"
"sering telat pak","0","sering telat pak"
"mohon jangansering terlambat","0","mohon jangansering lambat"
"jangan telat terus","0","jangan telat terus"
"pertahankan dan tingkatkan","0","tahan dan tingkat"
"lanjutkan","2","lanjut"
"lanjutkan dakwahmu pak","2","lanjut dakwah pak"
"Tugas dan hasil UTS Mohon dibagikan kemahasiswa kembali","0","tugas dan hasil uts mohon bagi mahasiswa kembali"
"semangat pantang menyerah","0","semangat pantang serah"
"ubah cara mengajar","0","ubah cara ajar"
"memberi penjelasan dengan banyak contoh supaya mahasiswa lebih memahami","0","beri jelas dengan banyak contoh supaya mahasiswa lebih paham"
"Pertahankan dan tingkatkan","0","tahan dan tingkat"
"apik tenan","0","apik tenan"
"tetap mengajar seperti itu Pak   semangat","0","tetap ajar seperti itu pak semangat"
"katanya tepat waktu pak","0","kata tepat waktu pak"
"Mantab pak, komunikasi tengan mahasiswa juga bagus","0","mantab pak komunikasi teng mahasiswa juga bagus"
"oke banget","2","oke banget"
"koplak, lucu","0","koplak lucu"
"Cara belajr / yang di ajarkan dosen unik, lucu","0","cara belajr yang di ajar dosen unik lucu"
"sukses selalu pak","0","sukses selalu pak"
"semoga semua dapet A","0","moga semua dapet a"
"Isi kuisioner efeknya tidak kelihatan oleh mahasiswa Apa ?","0","isi kuisioner efek tidak lihat oleh mahasiswa apa"
"Presentasinya terlalu panjang lebar, jadi sedikit ngantuk","0","presentasi terlalu panjang lebar jadi sedikit ngantuk"
"Lanjutkan","2","lanjut"
"Tetap semangat untuk meningkatakan mutu mahasiswa T.Informatika","0","tetap semangat untuk meningkatakan mutu mahasiswa t informatika"
"tetap lanjutkan pak","2","tetap lanjut pak"
"dari awal sudah berbentuk tim dengan studi kasus nyata","0","dari awal sudah bentuk tim dengan studi kasus nyata"
"presentasi yang bagus","0","presentasi yang bagus"
"Kurang gebrakan untuk membuat mhs. Sadar betapa pentingnya selembar kertas ini","0","kurang gebrak untuk buat mhs sadar betapa penting lembar kertas ini"
"Perlu Kebijakan baru mengenai kuisioner","0","perlu bijak baru kena kuisioner"
"Cukup menguasi metode namun penyampaian kurang dapat dipahami sepenuhnya","0","cukup kuasi metode namun sampai kurang dapat paham sepenuh"
"Perlu meningkatkan contoh secara detail, mengenai metode yang disampaikan","0","perlu tingkat contoh cara detail kena metode yang sampai"
"lebih teliti lagi","0","lebih teliti lagi"
"Lebih banyak memberi contoh2nya supaya lebih bisa memahami, daripada terlalu banyak materi hanya membuat bosan dan ngantuk","0","lebih banyak beri contoh2nya supaya lebih bisa paham daripada terlalu banyak materi hanya buat bosan dan ngantuk"
"Kalau bisa perkuliahan itu jangan Cuma presentasi saja","0","kalau bisa kuliah itu jangan cuma presentasi saja"
"Sebaiknya kalau ada sesi presentasi mengadakan sesi tanya jawab antar forum","0","baik kalau ada sesi presentasi ada sesi tanya jawab antar forum"
"materi diperbanyak slidenya","0","materi banyak slidenya"
"untuk pemilihan asisten praktikum basis data pilih asisten yang berkualitas yang memiliki skill dibidangnya","0","untuk pilih asisten praktikum basis data pilih asisten yang kualitas yang milik skill bidang"
"pada sesi presentasi dosen kurang merespon atau tidak memberikan kesempatan kepada mahasiswa untuk bertanya","0","pada sesi presentasi dosen kurang merespon atau tidak beri sempat kepada mahasiswa untuk tanya"
"terlalu monoton","0","terlalu monoton"
"Selalu memberikan wawasan baru mengenai basis data","0","selalu beri wawas baru kena basis data"
"tingkatkan","0","tingkat"
"Lebih perbanyak dijelaskan materinya dari presentasi","0","lebih banyak jelas materi dari presentasi"
"Kembangkan lagi cara mengajarnya","0","kembang lagi cara ajar"
"Saran saya jangan terlalu serius untuk meningkatakan daya minat belajar mahasiswa","0","saran saya jangan terlalu serius untuk meningkatakan daya minat ajar mahasiswa"
"bu win pancen sip","2","bu win pancen sip"
"semoga lebih baik lagi","0","moga lebih baik lagi"
"Semoga nilai kedepan mahasiswa akan lebih baik lagi","0","moga nilai depan mahasiswa akan lebih baik lagi"
"Kalau jam kosong lebih baik untuk di wakili, di usahakan kuliahnya tidak kosong","0","kalau jam kosong lebih baik untuk di wakil di usaha kuliah tidak kosong"
"Mantap Lanjutkan cara pengajarnya","2","mantap lanjut cara ajar"
"Tingkatkan kualitas","0","tingkat kualitas"
"sudah bagus","2","sudah bagus"
"jangan pelit nilai","0","jangan pelit nilai"
" ","0",""
"Mohon waktu dan aturan perkuliahan lebih diperjelas","0","mohon waktu dan atur kuliah lebih jelas"
"Lanjutkan","2","lanjut"
"Tolong apabila perkuliahan kosong Dosen harap memberikan informasi yang jelas kepada mahasiswa","0","tolong apabila kuliah kosong dosen harap beri informasi yang jelas kepada mahasiswa"
"Mohon info untuk kuliah metopen diperjelas kapan pertemuan di kelas.Dan kalau ada informasi bisa tersebar kesemua mahasiswa tidak hanya beberapa orang saja","0","mohon info untuk kuliah metopen jelas kapan temu di kelas dan kalau ada informasi bisa sebar semua mahasiswa tidak hanya beberapa orang saja"
"Tolong jadwal kuliahnya lebih diperjelas jangan banyak jadwal kosong","0","tolong jadwal kuliah lebih jelas jangan banyak jadwal kosong"
"Tolong saat mengajar datang tepat waktu, jika kosong harap diberitahukan kepada pihak Simeru dan ditempel didepan Pintu. Jangan memberitahu Pengganti kuliah secara dadakan","0","tolong saat ajar datang tepat waktu jika kosong harap diberitahukan kepada pihak simeru dan tempel depan pintu jangan memberitahu ganti kuliah cara dada"
"Mohon Dosen-dosen tepat waktu juga ,giliran mahasiswa telat dimarahin. Kuliah ini sering kosong Mahasiswa menghargai Dosen dan sebaliknya. Mari saling menghargai, demi kebaikan pendidikan di negeri ini.","0","mohon dosen tepat waktu juga gilir mahasiswa telat dimarahin kuliah ini sering kosong mahasiswa harga dosen dan balik mari saling harga demi baik didik di negeri ini"
"dosen terlalu santai dalam memulai dan mengakhiri Kuliah. Saya rasa kuliah dengan Cara ini tidak maksimal ,dosen sering tidak hadir dalam perkuliahan. Perjuangkan Akreditasi Kami","0","dosen terlalu santai dalam mulai dan akhir kuliah saya rasa kuliah dengan cara ini tidak maksimal dosen sering tidak hadir dalam kuliah juang akreditasi kami"
"Materinya kurang dimengerti","0","materi kurang erti"
"jangan galak-galak","0","jangan galak"
"Penyampaian materi tak enak tidak meningkatkan minat belajar. Harus jelas penyampaian materi.Jangan pelit Nilai. Cocokan materi UTS & UAS (kasih Nilai)","0","sampai materi tak enak tidak tingkat minat ajar harus jelas sampai materi jangan pelit nilai cocok materi uts uas kasih nilai"
"Dapat mengetahui Ilmu Dakwah dan menginspirasi untuk menjadi Dai","0","dapat tahu ilmu dakwah dan inspirasi untuk jadi dai"
"memantaskan berdakwah","0","pantas dakwah"
"memahami hukum dan hakekat berdakwah","0","paham hukum dan hakekat dakwah"
"Mengerti tujuan untuk Dakwah, manajemen Dakwah","0","erti tuju untuk dakwah manajemen dakwah"
"Mengetahui metode dakwah dan Etika dakwah. Mendapat motivasi untuk hidup supaya jadi lebih baik","0","tahu metode dakwah dan etika dakwah dapat motivasi untuk hidup supaya jadi lebih baik"
"Mendapat Motivasi yang bagus","0","dapat motivasi yang bagus"
"Mengasyikkan, luar biasa","2","asyik luar biasa"
"Cara komunikasi dakwah yang baik dapat ditiru","0","cara komunikasi dakwah yang baik dapat tiru"
"cukup menambah ilmu","0","cukup tambah ilmu"
"cukup baik","2","cukup baik"
"Mendapat ilmu tentang komunikasi dakwah dan praktek dakwah","0","dapat ilmu tentang komunikasi dakwah dan praktek dakwah"
"memahami tentang manajemen dakwah","0","paham tentang manajemen dakwah"
"Mengetahui tuntunan Praktek dan Pidato","0","tahu tuntun praktek dan pidato"
"Mengetahui metode dakwah dan etika-etika Dakwah","0","tahu metode dakwah dan etika dakwah"
"Mengetahui berbagai hal tentang berdakwah tata cara berdakwah","0","tahu bagai hal tentang dakwah tata cara dakwah"
"Lanjutkan pak metode pengajarannya bagus tidak bikin ngantuk","0","lanjut pak metode ajar bagus tidak bikin ngantuk"
"Penjelasannya mudah dimengerti","0","jelas mudah erti"
"super sekali","0","super sekali"
"Supaya tidak subyektif dalam memberikan contoh/bercanda karena menyinggung perasaan","0","supaya tidak subyektif dalam beri contoh canda karena singgung asa"
"Sangat baik, mengasikan,memotivasi lanjutkan","2","sangat baik asi motivasi lanjut"
"lanjutkan","2","lanjut"
"Bagus !!! Menarik !!! Dan mudah dipahami !!! Go A Head !!!","0","bagus tarik dan mudah paham go a head"
"Lanjutkan pak","2","lanjut pak"
"Penyampaian materi Perkuliahan sudah sangat baik","0","sampai materi kuliah sudah sangat baik"
"Lebih ditingkatkan dalam menumbuhkan minat belajar","0","lebih tingkat dalam tumbuh minat ajar"
"Cukup untuk meningkatakan semangat belajar","0","cukup untuk meningkatakan semangat ajar"
"diperbanyak Tugas dirumah buat mahasiswa","0","banyak tugas rumah buat mahasiswa"
"ibu sudah sangat baik dalam mengajar","0","ibu sudah sangat baik dalam ajar"
"ok","2","ok"
"lanjutkan","2","lanjut"
"Pemberian contoh kurang apabila memungkinkan contoh soal diperbanyak dng cara mengerjakannya","0","beri contoh kurang apabila mungkin contoh soal banyak dng cara kerja"
"Perkuliahan sudah berlangsung baik","0","kuliah sudah langsung baik"
"lanjutkan","2","lanjut"
"lanjutkan","2","lanjut"
"Bu Salamah super sekali","0","bu salamah super sekali"
"Bu salamah gaul","0","bu salamah gaul"
"Sebaiknya kalau Mau Kuis, tugas sebelumnya dikembalikan dulu dengan koreksian. Jadi Komentar mana sazja jawaban yang salah","0","baik kalau mau kuis tugas belum kembali dulu dengan koreksi jadi komentar mana sazja jawab yang salah"
"Penjelasan & pembahasan dibahas sampai selesai agar bisa dimengerti langkah pengerjaannya","0","jelas bahas bahas sampai selesai agar bisa erti langkah kerja"
"Perkuliahan sudah sangat baik","2","kuliah sudah sangat baik"
"Perkuliahan sudah sangat baik","2","kuliah sudah sangat baik"
"Semangat terus bu","0","semangat terus bu"
"metodenya sudah bagus","2","metode sudah bagus"
"Semangat ibu, lanjutkan mencerdaskan kehidupan anak bangsa","0","semangat ibu lanjut cerdas hidup anak bangsa"
"Saya harap akan lebih banyak pembahasan soal ketimbang teori, karena faktanya setiap ujian hitungan semua","0","saya harap akan lebih banyak bahas soal ketimbang teori karena fakta tiap uji hitung semua"
"Sangat kurang contoh soal atau kurang latihan soal-soal sehingga mahasiswa sulit untuk memahami hitungan yang diberikan oleh dosen","0","sangat kurang contoh soal atau kurang latih soal sehingga mahasiswa sulit untuk paham hitung yang beri oleh dosen"
"Kurang banyak memberikan contoh soal dan penjabarannya soal saya kurang jelas","0","kurang banyak beri contoh soal dan jabar soal saya kurang jelas"
"Perkuliahan Tambah Baik","0","kuliah tambah baik"
"Perkuliahan Tambah Baik","0","kuliah tambah baik"
"Suaranya kurang keras, metode saat menjelaskan kurang menarik","0","suara kurang keras metode saat jelas kurang tarik"
"Dalam penyampaian materi cukup, namun sulit untuk dimengerti","0","dalam sampai materi cukup namun sulit untuk erti"
"Saat mengajar diusahakan p-akai mikropon (suara kadang tak sampai belakang)","0","saat ajar usaha p-akai mikropon suara kadang tak sampai belakang"
"Pada saat menjelaskan tolong pakai pengeras suara biar yang dibelakang,kedengaran!!","0","pada saat jelas tolong pakai keras suara biar yang belakang dengar"
"Menjelaskan soal-soal yang dikerjakan secara perlahan-lahan kepada Mhs. Agar mahasiswa lebih mengerti","0","jelas soal yang kerja cara perlahan-lahan kepada mhs agar mahasiswa lebih erti"
"Lebih menjelaskan secara perlahan-lahan kepada mahasiswa tentang contoh soal dan penerapannya","0","lebih jelas cara perlahan-lahan kepada mahasiswa tentang contoh soal dan terap"
"Penjelasan materi yang disampaikan kurang bisa dipahami karena cara penyampaiannya kurang tepat","0","jelas materi yang sampai kurang bisa paham karena cara sampai kurang tepat"
"Dalam pembelajaran agar ikutan mahasiswa, sehingga tidak merasaz bosan dan mengantuk","0","dalam ajar agar ikut mahasiswa sehingga tidak merasaz bosan dan antuk"
"Dalam ngajar mengajar antara dosen dan mahasiswa saling berbicara supaya belajarnya enak","0","dalam ngajar ajar antara dosen dan mahasiswa saling bicara supaya ajar enak"
"Dosen seharusnya dapat menerangkan mata kuliah lebih jelas lagi, misal dengan memberi contoh lalu dikerjakan di depan sebelum memberi tugas kepada mahasiswa","0","dosen harus dapat terang mata kuliah lebih jelas lagi misal dengan beri contoh lalu kerja di depan belum beri tugas kepada mahasiswa"
"Memberikan pengajaran yang lebih baik agar menumbuhkan minat mahasiswa","0","beri ajar yang lebih baik agar tumbuh minat mahasiswa"
"Penjelassan tentang soal-soal lebih diperjelas lagi","0","penjelassan tentang soal lebih jelas lagi"
"Contoh kurang, cara penguasan kelas kurang, suara pada saat menjelaskan kurang kerang","0","contoh kurang cara kuas kelas kurang suara pada saat jelas kurang kerang"
"Dibuat lebih menarik bu cara penyampainnya kadang ada mahasiswa main HP","0","buat lebih tarik bu cara penyampainnya kadang ada mahasiswa main hp"
"Jangan cepat-cepat ngasih materi bu, sama ganti slidenya juga","0","jangan cepat ngasih materi bu sama ganti slidenya juga"
"lanjutkan","2","lanjut"
"Jangan cepat-cepat kalau ganti slide kadang suka tertinggal","0","jangan cepat kalau ganti slide kadang suka tinggal"
"Jangan terlalu cepat saat mengajar","0","jangan terlalu cepat saat ajar"
"Jangan cepat-capat dalam menerangkan","0","jangan cepat-capat dalam terang"
"Bu, sedikit mengurangi tanya-tanya kemahasiswa bikin harus belajar lagi","0","bu sedikit kurang tanya mahasiswa bikin harus ajar lagi"
"Jangan cepat-cepat ganti slide bu","0","jangan cepat ganti slide bu"
"aktif tapi tak hiperaktif","0","aktif tapi tak hiperaktif"
"bu nilai saya dibagusin ya bu","0","bu nilai saya dibagusin ya bu"
"Kalau bisa setiap pertemuan diberi soft/hard copy, agar mahasiswa yang tertinggal dlam perkuliahan dapat belajar dari soft/hard copy tersebut","0","kalau bisa tiap temu beri soft hard copy agar mahasiswa yang tinggal dlam kuliah dapat ajar dari soft hard copy sebut"
"Saat mengajar kalau bisa lebih banyak latihan yang diberikan dan juga suara lebih keras atau menggunakan microfon","0","saat ajar kalau bisa lebih banyak latih yang beri dan juga suara lebih keras atau guna microfon"
"Penguasaan dosen terhadap suasana kelas,mhs. Dan penyampaian materi belum dapat menyatu dengan harapan mahasiswa sehingga belum terciptanya suasana yang kondusif","0","kuasa dosen hadap suasana kelas mhs dan sampai materi belum dapat satu dengan harap mahasiswa sehingga belum cipta suasana yang kondusif"
"lebih diperjelas lagi dlm menjelaskan materi-materi utk contoh2 soalnya mungkin bisa lebih diperjelas agar kami udah dalam memahami","0","lebih jelas lagi dlm jelas materi utk contoh2 soal mungkin bisa lebih jelas agar kami udah dalam paham"
"Dosen kurang menguasi materi","0","dosen kurang kuasi materi"
"Dosen ada profesi yang sangat berpotensi menuai pahala jariyah terus belajar strategi mengajar yang baik","0","dosen ada profesi yang sangat potensi tuai pahala jariyah terus ajar strategi ajar yang baik"
"saya harap bisa lulus untuk makul ini","0","saya harap bisa lulus untuk makul ini"
"kurang menarik","0","kurang tarik"
"ubahlah cara mengajarinya, dari segi menjelaskan materinya","0","ubah cara ajar dari segi jelas materi"
"Agar lebih bisa untuk dapat menguasai kelas dengan baik terimakasih","0","agar lebih bisa untuk dapat kuasa kelas dengan baik terimakasih"
"Tingkatkan","0","tingkat"
"Pak maaf sebelumnya ketika mengajar sebaiknya memberikan penjelasan contoh2 soal yang jelas bukan hanya terpaku pada Slide PPT atau PDF saja","0","pak maaf belum ketika ajar baik beri jelas contoh2 soal yang jelas bukan hanya terpa pada slide ppt atau pdf saja"
"Materi yang diberikan tidak sama dengan materi perkuliahan","0","materi yang beri tidak sama dengan materi kuliah"
"Nilai standar minimal","0","nilai standar minimal"
"Semua matakuliah elearning aja","0","semua matakuliah elearning aja"
"Jangan diskriminasi terhadap Mahasiswa","0","jangan diskriminasi hadap mahasiswa"
"Kuliah setiap hari tapi nilai satu kelas jelek semua","0","kuliah tiap hari tapi nilai satu kelas jelek semua"
"Tidak pernah ngajar kuliah nilai satu kelas jelek semua","0","tidak pernah ngajar kuliah nilai satu kelas jelek semua"
"Diperbanyak pertemuan kuliah, kalau bisa jangan Elearning terus","0","banyak temu kuliah kalau bisa jangan elearning terus"
"Terlalu banyak tugas proyek, menghabiskan uang mahasiswa, tetapi nilai jelek semua","0","terlalu banyak tugas proyek habis uang mahasiswa tetapi nilai jelek semua"
"Yang rajin ya kuliahnya jangan seing absen","0","yang rajin ya kuliah jangan seing absen"
"Tolong datang lebih tepat waktu","0","tolong datang lebih tepat waktu"
"Yang rajin masuk","0","yang rajin masuk"
"Jangan suka telat","0","jangan suka telat"
"Kuliah penggaanti kurang kondusif dengan online","0","kuliah penggaanti kurang kondusif dengan online"
"agar masuk","0","agar masuk"
"Lanjutkan terus mengenai kedisiplinan waktu","0","lanjut terus kena disiplin waktu"
"Tingkatkan","0","tingkat"
"Lebih diperjelas pertemuannya","0","lebih jelas temu"
"Pak tolong ketika memberi tugas dijelaskan terlebih dahulu biar bisa dimengerti","0","pak tolong ketika beri tugas jelas lebih dahulu biar bisa erti"
"Mudahkan mahasiswa untuk lulus","0","mudah mahasiswa untuk lulus"
"Tingkatkan","0","tingkat"
"Karena kuliah ini lebih banyak menghitungnya, lebih baik tidak terlalu serius","0","karena kuliah ini lebih banyak hitung lebih baik tidak terlalu serius"
"Kisi - kisi ujian mohon di kasih tau","0","kisi - kisi uji mohon di kasih tau"
"Kalau mau ujian mohon dikasih kisi -kisi","0","kalau mau uji mohon kasih kisi -kisi"
"good job","2","good job"
"Saran saya tingkatkan minat mahasiswa dengan pembelajaran anda jangan terlalu serius belajarnya supaya mahasiswa berminat","0","saran saya tingkat minat mahasiswa dengan ajar anda jangan terlalu serius ajar supaya mahasiswa minat"
"Praktikum kurang jelas, asisten tidak menerangkan materi","0","praktikum kurang jelas asisten tidak terang materi"
"Praktikum kurang jelas","0","praktikum kurang jelas"
"Jangan Pelit** bu kalu kasih nilai","0","jangan pelit bu kalu kasih nilai"
"Kalau perkuliahan dengan sentuhan humor agar lebih berwarna","0","kalau kuliah dengan sentuh humor agar lebih warna"
"Fight ….!!! Senyum","0","fight senyum"
"Friendly","0","friendly"
"Berjuanglah , bangkitlah untuk indonesiaku","0","juang bangkit untuk indonesia"
"Senyum….!","0","senyum"
"Sudah jrlas untuk penyampaiannya dalam mengajar tinggal direvisi sedikit aja","0","sudah jrlas untuk sampai dalam ajar tinggal revisi sedikit aja"
"Kalau datang agar bisa tepat waktu","0","kalau datang agar bisa tepat waktu"
"Senyum dulu !!!!!","0","senyum dulu"
"Makasih ibu dosen","0","makasih ibu dosen"
"Lanjutkan","2","lanjut"
